[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [RFNOC::GRAPH] One or more blocks timed out during flush!
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
D[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 266] d0=4122657 pm=2104 slots=879975 (3572s)
[cap 267] d0=4121057 pm=1933 slots=879975 (3582s)
[cap 268] d0=4106937 pm=1851 slots=879975 (3592s)
[cap 269] d0=4100438 pm=1509 slots=879975 (3602s)
[cap 270] d0=4128627 pm=1419 slots=879975 (3613s)
[cap 271] d0=4110486 pm=1482 slots=879975 (3623s)
[cap 272] d0=4104565 pm=1650 slots=879975 (3633s)
[cap 273] d0=4114167 pm=1393 slots=879975 (3643s)
[cap 274] d0=4082500 pm=1336 slots=879975 (3654s)
[cap 275] d0=4122407 pm=1544 slots=879975 (3664s)
[cap 276] d0=4126534 pm=2797 slots=879975 (3674s)
[cap 277] d0=4098568 pm=6741 slots=879975 (3684s)
[cap 278] d0=5825976 pm=1950 slots=336525 (3713s)
[cap 279] d0=4110074 pm=2435 slots=880000 (3762s)
[cap 280] d0=4117255 pm=1987 slots=880000 (3772s)
[cap 281] d0=4138001 pm=2027 slots=880000 (3783s)
[cap 282] d0=4108748 pm=1973 slots=880000 (3793s)
[cap 283] d0=4087577 pm=1838 slots=880000 (3803s)
[cap 284] d0=4109315 pm=1820 slots=880000 (3814s)
[cap 285] d0=4093411 pm=1897 slots=880000 (3824s)
[cap 286] d0=4094507 pm=1878 slots=880000 (3834s)
[cap 287] d0=4103348 pm=1967 slots=880000 (3844s)
[cap 288] d0=4080251 pm=1940 slots=880000 (3855s)
[cap 289] d0=4113639 pm=1926 slots=880000 (3865s)
[cap 290] d0=4086468 pm=1762 slots=880000 (3875s)
[cap 291] d0=4126532 pm=1675 slots=880000 (3885s)
[cap 292] d0=4127072 pm=1765 slots=880000 (3896s)
[cap 293] d0=4086180 pm=1801 slots=880000 (3906s)
[cap 294] d0=4117978 pm=1795 slots=880000 (3916s)
[cap 295] d0=4106937 pm=2030 slots=880000 (3926s)
[cap 296] d0=4107815 pm=2501 slots=880000 (3937s)
[cap 297] d0=4086859 pm=2508 slots=880000 (3947s)
[cap 298] d0=4082281 pm=2002 slots=880000 (3957s)
[cap 299] d0=4084312 pm=1794 slots=880000 (3968s)
[cap 300] d0=4103741 pm=1697 slots=880000 (3978s)
[cap 301] d0=4100621 pm=2051 slots=880000 (3988s)
[cap 302] d0=4106949 pm=1989 slots=880000 (3998s)
[cap 303] d0=4096417 pm=1900 slots=880000 (4009s)
