# energy per real MAC (J/MAC); see METHODS.md
N,e_ip_total,e1_waveform,e2_adc,e3_digital
1840.88,2.435650e-15,5.343886e-16,8.148261e-16,1.086435e-15
1865.98,2.410076e-15,5.343886e-16,8.038660e-16,1.071821e-15
1891.42,2.384846e-15,5.343886e-16,7.930533e-16,1.057404e-15
1917.21,2.359956e-15,5.343886e-16,7.823861e-16,1.043181e-15
1943.35,2.335401e-15,5.343886e-16,7.718624e-16,1.029150e-15
1969.85,2.311176e-15,5.343886e-16,7.614802e-16,1.015307e-15
1996.71,2.287276e-15,5.343886e-16,7.512376e-16,1.001650e-15
2023.93,2.263699e-15,5.343886e-16,7.411329e-16,9.881771e-16
2051.52,2.240438e-15,5.343886e-16,7.311640e-16,9.748853e-16
2079.49,2.217490e-15,5.343886e-16,7.213292e-16,9.617723e-16
2107.85,2.194851e-15,5.343886e-16,7.116267e-16,9.488357e-16
2136.59,2.172516e-15,5.343886e-16,7.020548e-16,9.360730e-16
2165.72,2.150482e-15,5.343886e-16,6.926116e-16,9.234821e-16
2195.24,2.128744e-15,5.343886e-16,6.832953e-16,9.110605e-16
2225.17,2.107299e-15,5.343886e-16,6.741045e-16,8.988059e-16
2255.51,2.086142e-15,5.343886e-16,6.650372e-16,8.867163e-16
2286.27,2.065270e-15,5.343886e-16,6.560919e-16,8.747892e-16
2317.44,2.044678e-15,5.343886e-16,6.472669e-16,8.630225e-16
2349.03,2.024363e-15,5.343886e-16,6.385606e-16,8.514142e-16
2381.06,2.004322e-15,5.343886e-16,6.299714e-16,8.399619e-16
2413.52,1.984550e-15,5.343886e-16,6.214978e-16,8.286637e-16
2446.43,1.965044e-15,5.343886e-16,6.131381e-16,8.175175e-16
2479.79,1.945801e-15,5.343886e-16,6.048909e-16,8.065212e-16
2513.6,1.926816e-15,5.343886e-16,5.967546e-16,7.956728e-16
2547.87,1.908087e-15,5.343886e-16,5.887278e-16,7.849704e-16
2582.61,1.889609e-15,5.343886e-16,5.808089e-16,7.744119e-16
2617.82,1.871381e-15,5.343886e-16,5.729965e-16,7.639954e-16
2653.51,1.853397e-15,5.343886e-16,5.652893e-16,7.537190e-16
2689.69,1.835655e-15,5.343886e-16,5.576856e-16,7.435809e-16
2726.36,1.818152e-15,5.343886e-16,5.501843e-16,7.335791e-16
2763.53,1.800884e-15,5.343886e-16,5.427839e-16,7.237118e-16
2801.21,1.783849e-15,5.343886e-16,5.354830e-16,7.139773e-16
2839.4,1.767043e-15,5.343886e-16,5.282803e-16,7.043737e-16
2878.11,1.750462e-15,5.343886e-16,5.211745e-16,6.948993e-16
2917.36,1.734105e-15,5.343886e-16,5.141642e-16,6.855523e-16
2957.13,1.717968e-15,5.343886e-16,5.072483e-16,6.763311e-16
2997.45,1.702048e-15,5.343886e-16,5.004254e-16,6.672338e-16
3038.32,1.686342e-15,5.343886e-16,4.936942e-16,6.582590e-16
3079.74,1.670847e-15,5.343886e-16,4.870536e-16,6.494049e-16
3121.73,1.655561e-15,5.343886e-16,4.805024e-16,6.406698e-16
3164.3,1.640480e-15,5.343886e-16,4.740392e-16,6.320523e-16
3207.44,1.625602e-15,5.343886e-16,4.676630e-16,6.235506e-16
3251.17,1.610925e-15,5.343886e-16,4.613725e-16,6.151634e-16
3295.5,1.596444e-15,5.343886e-16,4.551667e-16,6.068889e-16
3340.43,1.582159e-15,5.343886e-16,4.490443e-16,5.987257e-16
3385.97,1.568065e-15,5.343886e-16,4.430043e-16,5.906724e-16
3432.14,1.554161e-15,5.343886e-16,4.370455e-16,5.827273e-16
3478.93,1.540445e-15,5.343886e-16,4.311669e-16,5.748892e-16
3526.36,1.526912e-15,5.343886e-16,4.253673e-16,5.671564e-16
